"ID_edificio";"Descrizione_edificio";"ID_sensore";"Tipo_misura";"Nome_sito";"Data_rilevazione";"Valore_misura";"Unita_misurazione"
"2016-22-007488-A/1485";"L1-007-164 IPIA GALILEI Succ";"2016-22-007488-A/5913";"Sensor1";"REGINA MARGHERITA SUCC Caduti";"19/11/2021 00:00";"18,25";"°C"
"2016-22-007488-A/1504";"L1-007-024 IPSA PREVERT Scuola";"2016-22-007488-A/5991";"Sensor1";"PREVER (Pinerolo)";"19/11/2021 13:00";"20,20";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"19/11/2021 12:00";"21,47";"°C"
"2016-22-007488-A/1566";"L1-007-110 IPC D ORIA";"2016-22-007488-A/6326";"Sensor1";"D'ORIA Prever";"19/11/2021 19:00";"19,37";"°C"
"2016-22-007488-A/1375";"L1-007-190 ITCG RUSSEL_MORO Succursal";"2016-22-007488-A/5472";"Sensor1";"PLESSO RUSSELL MORO EINSTEIN";"19/11/2021 15:00";"18,60";"°C"
"2016-22-007488-A/1605";"L1-007-105 ITIS CASALE Ex DA VINCI";"2016-22-007488-A/6578";"Sensor1";"EUROPA UNITA";"19/11/2021 12:00";"19,86";"°C"
"2016-22-007488-A/1074";"L1-007-162 IPC_Giolitti";"2016-22-007488-A/4063";"Sensor1";"GIOLITTI";"19/11/2021 05:00";"17,02";"°C"
"2016-22-007488-A/2214";"L1-007-978 Nuovo Auditorium Majorana";"2016-22-007488-A/8957";"Sensor1";"MAJORANA (Grugliasco)";"19/11/2021 06:00";"15,59";"°C"
"2016-22-007488-A/1198";"L1-007-061 L.C. Gioberti";"2016-22-007488-A/4652";"Sensor1";"GIOBERTI";"19/11/2021 06:00";"19,22";"°C"
"2016-22-007488-A/1081";"L1-007-074 LA COTTINI";"2016-22-007488-A/4090";"Sensor1";"COTTINI Castelgomberto";"19/11/2021 14:00";"16,25";"°C"
"2016-22-007488-A/1156";"L1-007-150 I.T.I.S. Bodoni";"2016-22-007488-A/4472";"Sensor1";"BODONI-PARAVIA";"19/11/2021 07:00";"20,20";"°C"
"2016-22-007488-A/1290";"L1-007-160 LS EINSTEIN EX GRAMSCI_Succ";"2016-22-007488-A/5071";"Sensor1";"EINSTEIN SUCC1 Bologna";"19/11/2021 01:00";"17,94";"°C"
"2016-22-007488-A/2498";"L1-007-159 LS EINSTEIN";"2016-22-007488-A/10523";"Sensor1";"";"19/11/2021 12:00";"17,93";"°C"
"2016-22-007488-A/2543";"L1-007-053 I.T.C. LEVI";"2016-22-007488-A/10771";"Sensor1";"";"20/11/2021 02:00";"20,53";"°C"
"2016-22-007488-A/918";"L1-007-070-071 ITC Majorana";"2016-22-007488-A/3460";"Sensor1";"MAJORANA SUCC Tazzoli";"20/11/2021 22:00";"18,80";"°C"
"2016-22-007488-A/1547";"L1-007-029 ITCG BUNIVA Prefabbricato Succ";"2016-22-007488-A/6145";"Sensor1";"BUNIVA SEDE";"20/11/2021 06:00";"22,55";"°C"
"2016-22-007488-A/1287";"L1-007-142-143 IP Altre Spec_STEINER + Custode";"2016-22-007488-A/5056";"Sensor1";"STEINER Agrigento";"20/11/2021 06:00";"17,73";"°C"
"2016-22-007488-A/1458";"L1-007-141 Succursale Ferraris  CTP";"2016-22-007488-A/5755";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"20/11/2021 10:00";"14,28";"°C"
"2016-22-007488-A/1504";"L1-007-024 IPSA PREVERT Scuola";"2016-22-007488-A/5991";"Sensor1";"PREVER (Pinerolo)";"20/11/2021 10:00";"19,27";"°C"
"2016-22-007488-A/1550";"L1-007-125 IM ALBERT";"2016-22-007488-A/6165";"Sensor1";"ALBERT";"20/11/2021 00:00";"19,03";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"20/11/2021 06:00";"20,36";"°C"
"2016-22-007488-A/974";"L1-007-080 LC Baldessano";"2016-22-007488-A/3675";"Sensor1";"BALDESSANO-ROCCATI 1 Agostino";"20/11/2021 04:00";"18,38";"°C"
"2016-22-007488-A/1081";"L1-007-074 LA COTTINI";"2016-22-007488-A/4090";"Sensor1";"COTTINI Castelgomberto";"18/11/2021 16:00";"17,21";"°C"
"2016-22-007488-A/1294";"L1-007-046 IP Altre Spec STAINER Succ";"2016-22-007488-A/5092";"Sensor1";"STEINER SUCC Monginevro";"18/11/2021 15:00";"16,35";"°C"
"2016-22-007488-A/1311";"L1-007-063 LS CATTANEO Succursale";"2016-22-007488-A/5151";"Sensor1";"CATTANEO SUCC Postumia";"18/11/2021 18:00";"19,20";"°C"
"2016-22-007488-A/1447";"L1-007-140 IPSIC GIOLITTI";"2016-22-007488-A/5730";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"18/11/2021 19:00";"18,45";"°C"
"2016-22-007488-A/1018";"L1-007-010 ITC_ IPC ROCCATI";"2016-22-007488-A/3852";"Sensor1";"BALDESSANO-ROCCATI Garibaldi";"18/11/2021 01:00";"19,76";"°C"
"2016-22-007488-A/1288";"L1-007-013 ITC PASCAL";"2016-22-007488-A/5060";"Sensor1";"PASCAL Carducci";"18/11/2021 04:00";"5,63";"°C"
"2016-22-007488-A/1471";"L1-007-003 ITCG GALILEI Succ I prefabbricato";"2016-22-007488-A/5841";"Sensor1";"GALILEI SUCC Brut";"18/11/2021 08:00";"17,48";"°C"
"2016-22-007488-A/1018";"L1-007-010 ITC_ IPC ROCCATI";"2016-22-007488-A/3852";"Sensor1";"BALDESSANO-ROCCATI Garibaldi";"18/11/2021 18:00";"19,69";"°C"
"2016-22-007488-A/1564";"L1-007-998 Circondario di Lanzo";"2016-22-007488-A/6262";"Sensor1";"Circondario - Lanzo Torinese";"18/11/2021 11:00";"23,08";"°C"
"2016-22-007488-A/1568";"L1-007-111 IPC D ORIA Succursale";"2016-22-007488-A/6329";"Sensor1";"D'ORIA SUCC Battitore";"18/11/2021 10:00";"19,94";"°C"
"2016-22-007488-A/1187";"L1-007-064 L.S. Gobetti";"2016-22-007488-A/4607";"Sensor1";"GOBETTI";"18/11/2021 04:00";"6,79";"°C"
"2016-22-007488-A/1599";"L1-007-115 IPC JERVIS di Torino Sez. coord";"2016-22-007488-A/6552";"Sensor1";"25 APRILE-FACCIO SUCC Maggio 11";"18/11/2021 22:00";"19,18";"°C"
"2016-22-007488-A/1604";"L1-007-109 Succ UBERTINI di Caluso";"2016-22-007488-A/6575";"Sensor1";"UBERTINI SUCC2 (Chivasso)";"18/11/2021 06:00";"19,08";"°C"
"2016-22-007488-A/1287";"L1-007-142-143 IP Altre Spec_STEINER + Custode";"2016-22-007488-A/5056";"Sensor1";"STEINER Agrigento";"18/11/2021 17:00";"19,43";"°C"
"2016-22-007488-A/1288";"L1-007-013 ITC PASCAL";"2016-22-007488-A/5061";"Sensor1";"PASCAL Carducci";"18/11/2021 07:00";"19,07";"°C"
"2016-22-007488-A/1290";"L1-007-160 LS EINSTEIN EX GRAMSCI_Succ";"2016-22-007488-A/5071";"Sensor1";"EINSTEIN SUCC1 Bologna";"18/11/2021 12:00";"18,71";"°C"
"2016-22-007488-A/1355";"L1-007-191 GIOBERTI Succ";"2016-22-007488-A/5377";"Sensor1";"PLESSO GIOBERTI-GOBETTI SUCC";"18/11/2021 11:00";"17,14";"°C"
"2016-22-007488-A/2543";"L1-007-053 I.T.C. LEVI";"2016-22-007488-A/10771";"Sensor1";"";"18/11/2021 03:00";"21,06";"°C"
